INFO 2025-06-22 00:23:17,658 views Testing websocket CLIENT->SERVER...
INFO 2025-06-22 00:23:17,659 views Starting WebSocket CLIENT->SERVER performance test
INFO 2025-06-22 00:23:17,703 views WebSocket CLIENT->SERVER test completed: 5/5 successful
INFO 2025-06-22 00:23:17,704 views Completed websocket CLIENT->SERVER testing
INFO 2025-06-22 00:23:17,705 views Testing longpolling CLIENT->SERVER...
INFO 2025-06-22 00:23:17,705 views Starting Long Polling CLIENT->SERVER performance test
INFO 2025-06-22 00:23:17,824 views Long Polling CLIENT->SERVER test completed: 5/5 successful
INFO 2025-06-22 00:23:17,824 views Completed longpolling CLIENT->SERVER testing
INFO 2025-06-22 00:23:17,825 views Testing firebase CLIENT->SERVER...
INFO 2025-06-22 00:23:17,825 views Starting Firebase CLIENT->SERVER performance test
INFO 2025-06-22 00:23:17,871 views Firebase stats: 0 active tokens
INFO 2025-06-22 00:23:17,893 views Firebase CLIENT->SERVER test completed: 1/2 tests successful
INFO 2025-06-22 00:23:17,893 views Completed firebase CLIENT->SERVER testing
INFO 2025-06-22 00:23:18,279 views CLIENT resource monitoring stopped
INFO 2025-06-22 00:23:18,279 views Enhanced CLIENT->SERVER performance tests completed: enhanced_test_1750544597_cc4e1f6d
INFO 2025-06-22 00:23:18,279 views Enhanced CLIENT->SERVER performance tests completed: enhanced_test_1750544597_cc4e1f6d
INFO 2025-06-22 01:36:10,577 views Starting enhanced CLIENT->SERVER performance tests: enhanced_test_1750548970_80683f7f
ERROR 2025-06-22 01:36:10,578 views Enhanced test execution error: 'EnhancedPerformanceTestRunner' object has no attribute 'start_resource_monitoring'
ERROR 2025-06-22 01:36:15,626 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:36:20,629 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:36:25,667 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:36:30,677 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:36:35,678 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:36:40,692 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:36:45,709 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:36:50,716 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:36:55,725 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:37:00,729 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:37:05,742 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:37:10,755 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:37:15,765 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:37:20,775 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
INFO 2025-06-22 01:39:16,809 views Starting enhanced CLIENT->SERVER performance tests: enhanced_test_1750549156_cbfa29b6
ERROR 2025-06-22 01:39:16,810 views Enhanced test execution error: 'EnhancedPerformanceTestRunner' object has no attribute 'start_resource_monitoring'
ERROR 2025-06-22 01:39:21,843 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
ERROR 2025-06-22 01:39:26,843 views Failed to get test results: 'EnhancedPerformanceTestRunner' object has no attribute 'get_test_results'
